Parentgene	Type	Number	Frequency
FAM96B	Loss	0	0.0000
FCF1	Germline	0	0.0000
FCF1	Somatic	1	0.0015
FCF1	Loss	0	0.0000
FEZ2	Germline	0	0.0000
FEZ2	Somatic	1	0.0015
FEZ2	Loss	0	0.0000
FGFBP1	Germline	0	0.0000
FGFBP1	Somatic	1	0.0015
FGFBP1	Loss	0	0.0000
FLJ10769	Germline	0	0.0000
FLJ10769	Somatic	1	0.0015
FLJ10769	Loss	0	0.0000
FLNA	Germline	0	0.0000
FLNA	Somatic	2	0.0030
FLNA	Loss	0	0.0000
FMR1	Germline	0	0.0000
FMR1	Somatic	1	0.0015
FMR1	Loss	0	0.0000
FNTA	Germline	0	0.0000
FNTA	Somatic	1	0.0015
FNTA	Loss	0	0.0000
FOXK2	Germline	10	0.0075
FOXK2	Somatic	0	0.0000
FOXK2	Loss	0	0.0000
FTH1	Germline	0	0.0000
FTH1	Somatic	6	0.0090
FTH1	Loss	0	0.0000
FV155158	Germline	0	0.0000
FV155158	Somatic	1	0.0015
FV155158	Loss	0	0.0000
FXR1	Germline	10	0.0075
FXR1	Somatic	0	0.0000
FXR1	Loss	0	0.0000
FXYD3	Germline	0	0.0000
FXYD3	Somatic	1	0.0015
FXYD3	Loss	0	0.0000
FYB	Germline	0	0.0000
FYB	Somatic	1	0.0015
FYB	Loss	0	0.0000
FYTTD1	Germline	0	0.0000
FYTTD1	Somatic	1	0.0015
FYTTD1	Loss	0	0.0000
GALNT3	Germline	0	0.0000
GALNT3	Somatic	1	0.0015
GALNT3	Loss	0	0.0000
GAP43	Germline	0	0.0000
GAP43	Somatic	1	0.0015
GAP43	Loss	0	0.0000
GAPDH	Germline	16	0.0121
GAPDH	Somatic	1	0.0015
GAPDH	Loss	0	0.0000
GARS	Germline	0	0.0000
GARS	Somatic	1	0.0015
GARS	Loss	0	0.0000
GAS5	Germline	0	0.0000
GAS5	Somatic	21	0.0317
GAS5	Loss	0	0.0000
GBAS	Germline	0	0.0000
GBAS	Somatic	1	0.0015
GBAS	Loss	0	0.0000
GCFC1	Germline	0	0.0000
GCFC1	Somatic	1	0.0015
GCFC1	Loss	0	0.0000
GCSH	Germline	1208	0.9110
GCSH	Somatic	1	0.0015
