Parentgene	Type	Number	Frequency
TXNL4A	Somatic	1	0.0015
TXNL4A	Loss	0	0.0000
TYRO3	Germline	46	0.0347
TYRO3	Somatic	0	0.0000
TYRO3	Loss	0	0.0000
UBA2	Germline	0	0.0000
UBA2	Somatic	1	0.0015
UBA2	Loss	0	0.0000
UBA52	Germline	0	0.0000
UBA52	Somatic	1	0.0015
UBA52	Loss	0	0.0000
UBC	Germline	0	0.0000
UBC	Somatic	1	0.0015
UBC	Loss	0	0.0000
UBE2C	Germline	0	0.0000
UBE2C	Somatic	1	0.0015
UBE2C	Loss	0	0.0000
UBE2E3	Germline	0	0.0000
UBE2E3	Somatic	1	0.0015
UBE2E3	Loss	0	0.0000
UNQ598	Germline	0	0.0000
UNQ598	Somatic	1	0.0015
UNQ598	Loss	0	0.0000
UQCR10	Germline	8	0.0060
UQCR10	Somatic	1	0.0015
UQCR10	Loss	0	0.0000
UQCR11	Germline	0	0.0000
UQCR11	Somatic	4	0.0060
UQCR11	Loss	0	0.0000
UQCRB	Germline	0	0.0000
UQCRB	Somatic	1	0.0015
UQCRB	Loss	0	0.0000
UQCRC2	Germline	0	0.0000
UQCRC2	Somatic	1	0.0015
UQCRC2	Loss	0	0.0000
USP12	Germline	2	0.0015
USP12	Somatic	0	0.0000
USP12	Loss	0	0.0000
USP17	Germline	0	0.0000
USP17	Somatic	1	0.0015
USP17	Loss	1	0.0015
VAMP7	Germline	2	0.0015
VAMP7	Somatic	0	0.0000
VAMP7	Loss	0	0.0000
VASH1	Germline	0	0.0000
VASH1	Somatic	1	0.0015
VASH1	Loss	0	0.0000
VEZF1	Germline	0	0.0000
VEZF1	Somatic	1	0.0015
VEZF1	Loss	0	0.0000
VPS24	Germline	0	0.0000
VPS24	Somatic	1	0.0015
VPS24	Loss	0	0.0000
VPS29	Germline	0	0.0000
VPS29	Somatic	1	0.0015
VPS29	Loss	0	0.0000
VPS35	Germline	0	0.0000
VPS35	Somatic	1	0.0015
VPS35	Loss	0	0.0000
WA1	Germline	0	0.0000
WA1	Somatic	1	0.0015
WA1	Loss	0	0.0000
WHSC1	Germline	0	0.0000
WHSC1	Somatic	1	0.0015
WHSC1	Loss	0	0.0000
WIPF3	Germline	0	0.0000
WIPF3	Somatic	1	0.0015
WIPF3	Loss	0	0.0000
WWP1	Germline	0	0.0000
WWP1	Somatic	1	0.0015
WWP1	Loss	0	0.0000
XIAP	Germline	2	0.0015
XIAP	Somatic	0	0.0000
XIAP	Loss	0	0.0000
XRCC6	Germline	0	0.0000
XRCC6	Somatic	1	0.0015
XRCC6	Loss	0	0.0000
YBX1	Germline	0	0.0000
YBX1	Somatic	3	0.0045
YBX1	Loss	0	0.0000
YWHAE	Germline	0	0.0000
YWHAE	Somatic	2	0.0030
YWHAE	Loss	0	0.0000
YWHAQ	Germline	2	0.0015
YWHAQ	Somatic	1	0.0015
YWHAQ	Loss	0	0.0000
YWHAZ	Germline	0	0.0000
YWHAZ	Somatic	1	0.0015
YWHAZ	Loss	0	0.0000
ZC3H14	Germline	0	0.0000
ZC3H14	Somatic	1	0.0015
ZC3H14	Loss	0	0.0000
ZC3H15	Germline	0	0.0000
ZC3H15	Somatic	1	0.0015
ZC3H15	Loss	0	0.0000
ZDHHC11	Germline	0	0.0000
ZDHHC11	Somatic	9	0.0136
ZDHHC11	Loss	0	0.0000
ZFAND5	Germline	2	0.0015
ZFAND5	Somatic	0	0.0000
ZFAND5	Loss	0	0.0000
ZNF107	Germline	2	0.0015
ZNF107	Somatic	0	0.0000
ZNF107	Loss	0	0.0000
ZNF138	Germline	2	0.0015
ZNF138	Somatic	0	0.0000
ZNF138	Loss	0	0.0000
ZNF655	Germline	0	0.0000
ZNF655	Somatic	1	0.0015
ZNF655	Loss	0	0.0000
ZNF664	Germline	14	0.0106
ZNF664	Somatic	1	0.0015
ZNF664	Loss	0	0.0000
ZWILCH	Germline	0	0.0000
ZWILCH	Somatic	1	0.0015
ZWILCH	Loss	0	0.0000
ad24	Germline	2	0.0015
ad24	Somatic	0	0.0000
ad24	Loss	0	0.0000
